M,X,class,const_cls,med_d,scl,scl_pool,logprior,thr,n
W,C,Double,,2.1438,0.0414,0.0108,-3.1648,,183
W,C,Single,,1.9970,0.0101,0.0108,-0.0656,,4059
W,C,Triple,,1.9097,0.0123,0.0108,-3.8525,,92
W,C,thr,,,,0.0108,,1.93377|1.93377,4334
W,Cl,const,0,,,,,,930
W,F,const,0,,,,,,75
W,H,const,0,,,,,,118
W,I,const,0,,,,,,28
W,N,Double,,1.7934,0.0201,0.0543,-1.9716,,110
W,N,Single,,2.1945,0.0705,0.0543,-0.2263,,630
W,N,Triple,,1.7817,0.0222,0.0543,-2.7600,,50
W,N,thr,,,,0.0543,,1.95331|1.76886,790
W,O,Double,,1.6832,0.0175,0.1624,-1.4713,,200
W,O,Single,,2.0492,0.2058,0.1624,-0.2699,,665
W,O,Triple,,1.6826,0.0065,0.1624,-4.9779,,6
W,O,thr,,,,0.1624,,1.76124|-inf,871
W,P,const,0,,,,,,900
W,S,Double,,2.2223,0.0050,0.1192,-1.9271,,115
W,S,Single,,2.5089,0.1382,0.1192,-0.1588,,674
W,S,thr,,,,0.1192,,2.22252|2.17477,790
W,Se,Double,,2.2750,0.0403,0.1077,-2.0149,,12
W,Se,Single,,2.5355,0.1227,0.1077,-0.1431,,78
W,Se,thr,,,,0.1077,,2.30227|-inf,90
W,Si,const,0,,,,,,31
W,Te,const,0,,,,,,19
Y,Br,const,0,,,,,,5
Y,C,const,0,,,,,,120
Y,Cl,const,0,,,,,,117
Y,F,const,0,,,,,,9
Y,H,const,0,,,,,,36
Y,I,const,0,,,,,,32
Y,N,const,0,,,,,,910
Y,O,const,0,,,,,,980
Y,P,const,0,,,,,,22
Y,S,const,0,,,,,,22
Zn,As,const,0,,,,,,8
Zn,Br,const,0,,,,,,160
Zn,C,Double,,2.1888,0.0523,0.0165,-3.8224,,7
Zn,C,Single,,2.0259,0.0165,0.0165,-0.0221,,313
Zn,C,thr,,,,0.0165,,-inf|-inf,320
Zn,Cl,const,0,,,,,,675
Zn,F,const,0,,,,,,5
Zn,H,const,0,,,,,,12
